"Day","Items","Note","Amount"
"90","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(300)"
"90","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(300)"
"90","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(200)"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(100)"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(100)"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(100)"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(200)"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(200)"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(200)"
"90","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(100)"
"90","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(100)"
"90","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(100)"
"90","Salary Expense","Cash Payment - Salary Expense","(26726)"
"90","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 16217","(100)"
"90","Sales E Commerce","Revenue - E-Commerce Sales","6149"
"90","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 16232","(200)"
"90","Sales E Commerce","Revenue - E-Commerce Sales","7834"
"90","Retail","Revenue - Retail Sales New York - Mouthwash","4836"
"90","Retail","Revenue - Retail Sales New York - Body Wash","4851"
"90","Retail","Revenue - Retail Sales New York - Shampoo","17514"
"90","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","256"
"90","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","558"
"90","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","1008"
"90","Retail","Revenue - Retail Sales Chicago - Mouthwash","620"
"90","Retail","Revenue - Retail Sales Chicago - Body Wash","1134"
"90","Retail","Revenue - Retail Sales Chicago - Shampoo","1820"
"90","Retail","Revenue - Retail Sales San Francisco - Mouthwash","128"
"90","Retail","Revenue - Retail Sales San Francisco - Body Wash","434"
"90","Retail","Revenue - Retail Sales San Francisco - Shampoo","945"
"90","Rental Expense","Cash Payment - RentalNew York","(8040)"
"90","Rental Expense","Cash Payment - RentalDetroit","(1200)"
