"Day","Items","Note","Amount"
"90","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"90","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"90","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"90","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","200"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","200"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","200"
"90","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","100"
"90","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","100"
"90","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","100"
"90","Salary Expense","Cash Payment - Salary Expense","26726"
"90","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 16217","100"
"90","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 16232","200"
"90","Rental Expense","Cash Payment - RentalNew York","8040"
"90","Rental Expense","Cash Payment - RentalDetroit","1200"
"90","Rental Expense","Cash Payment - RentalWashington, D.C.","2440"
"90","Rental Expense","Cash Payment - RentalChicago","1480"
"90","Rental Expense","Cash Payment - RentalSan Francisco","2240"
"90","Rental Expense","Cash Payment - RentalMiami","1200"
"89","Other Expense","Others Loss","-30000"
"89","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","300"
"89","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","300"
"89","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","200"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","100"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","100"
"89","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","100"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","200"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","200"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","200"
"89","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","100"
